Объект,Оборудование,Тип,ПериодДней,ПоследнееТО,Ответственный
"Усть-Каменогорск, АМТС/Ед.гермозоны","PDB-4-1, 4-2, 4-3 Герм.WLL 4 эт. (инв. 130014075068)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЩО70-05УЗ П-1,3 СШ ГП (инв. 1300155369750000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЩО70-32УЗ П-5, 7 ДГА-2 300кВт (инв. 1300155369750000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЩО70-72УЗ П-9, 2, 11 Секц. с АВР (инв. 1300155369750000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЩО70-05УЗ П-4, 6, 8 СШ 2-го ввода (инв. 1300155369750000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЩАВР 1250 ЭД-600 Астра 825-400 (инв. 130014181117),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Д-ЩСН-1 (Щит силовой распределительный собственных нужд) (инв. 130014181117),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Д-ЩУК (инв. 130014181117),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Щит ввода ДГА 1Е300МА3 (инв. 130015537112),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",ЩАУК (инв. 130015537112),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Щит ввода №1 ЩО-70-42 УЗ (инв. 1300155371110000),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Щит ввода №2 ЩО-70-42 УЗ (инв. 1300155371110000),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Щит секционного выключателя ЩО-70-72 (инв. 1300155371110000),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Щит ввода секции ГП ДГА-1 600кВт (инв. 1300155371110000),ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЩР №1, 3, 5 СШ ГП ЩО-70-10 УЗ (инв. 1300155371110000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","ЩР №2, 4, 6 СШ 2го ввода ЩО-70-10 УЗ (инв. 1300155371110000)",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны","Кабельные линии и сети 0,4кВ",ЩПТ/ВУ,180,2026-06-19,Галиев Д.Р.
"Усть-Каменогорск, АМТС/Ед.гермозоны",Модульный инвертор №2 УИЦ-9000 9кВт (инв. 130015536743),ИБП,90,2026-08-03,Галиев Д.Р.
